venue,year,total_papers,sampled_papers,radiology_papers,ai_papers,pediatric_papers,radiology_fraction,ai_fraction,pediatric_fraction
NeurIPS,2008,251,100,0,7,0,0.0,0.07,0.0
NeurIPS,2009,264,100,0,6,0,0.0,0.06,0.0
NeurIPS,2010,315,100,0,6,0,0.0,0.06,0.0
NeurIPS,2011,345,100,1,9,0,0.01,0.09,0.0
NeurIPS,2012,372,100,1,7,0,0.01,0.07,0.0
NeurIPS,2013,361,100,0,7,0,0.0,0.07,0.0
NeurIPS,2014,412,100,0,6,0,0.0,0.06,0.0
NeurIPS,2015,404,100,0,8,0,0.0,0.08,0.0
NeurIPS,2016,570,100,0,11,0,0.0,0.11,0.0
NeurIPS,2017,680,100,1,6,0,0.01,0.06,0.0
MICCAI,2024,1482,100,40,40,4,0.4,0.4,0.04
MICCAI,2025,1723,100,44,46,5,0.44,0.46,0.05
CVPR,2008,743,100,4,11,1,0.04,0.11,0.01
ICCV,2015,661,100,0,17,0,0.0,0.17,0.0
ICCV,2017,994,100,0,22,0,0.0,0.22,0.0
ISBI,2024,801,100,24,49,1,0.24,0.49,0.01
ISBI,2025,639,100,32,39,2,0.32,0.39,0.02
